x,y
2677,431
2678,438
2679,430
2680,420
2681,418
2682,414
2683,412
2684,412
2685,412
2686,409
2687,408
2688,408
2689,413
2690,418
2691,413
2692,406
2693,405
2694,420
2695,423
2696,423
2697,430
2698,422
2699,420
2700,425
2701,428
2702,433
2703,429
2704,422
2705,423
2706,430
2707,418
2708,409
2709,436
2710,445
2711,446
2712,443
2713,436
2714,435
2715,430
2716,428
2717,429
2718,436
2719,430
2720,429
2721,435
2722,437
2723,439
2724,437
2725,435
2726,429
2727,439
2728,436
2729,425
2730,438
2731,448
2732,449
2733,443
2734,443
2735,437
2736,432
2737,437
2738,444
2739,443
2740,438
2741,440
2742,445
2743,444
2744,437
2745,441
2746,442
2747,448
2748,442
2749,442
2750,447
2751,450
2752,441
2753,441
2754,444
2755,440
2756,445
2757,450
2758,454
2759,456
2760,454
2761,454
2762,466
2763,462
2764,466
2765,467
2766,464
2767,461
2768,464
2769,475
2770,469
2771,457
2772,441
2773,450
2774,461
2775,449
2776,448
2777,446
2778,449
2779,447
2780,448
2781,449
2782,452
2783,450
2784,443
2785,451
2786,454
2787,458
2788,449
2789,449
2790,453
2791,451
2792,458
2793,471
2794,460
2795,454
2796,471
2797,537
2798,632
2799,687
2800,698
2801,677
2802,603
2803,497
2804,447
2805,448
2806,462
2807,479
2808,468
2809,458
2810,466
2811,460
2812,455
2813,455
2814,459
2815,459
2816,454
2817,455
2818,466
2819,460
2820,455
2821,462
2822,474
2823,473
2824,463
2825,477
2826,477
2827,481
2828,482
2829,491
2830,497
2831,496
2832,498
2833,494
2834,505
2835,509
2836,515
2837,527
2838,535
2839,532
2840,531
2841,538
2842,542
2843,539
2844,540
2845,537
2846,540
2847,527
2848,526
2849,524
2850,524
2851,518
2852,506
2853,495
2854,489
2855,477
2856,465
2857,472
2858,471
2859,463
2860,455
2861,458
2862,454
2863,453
2864,447
2865,449
2866,456
2867,458
2868,449
2869,453
2870,462
2871,456
2872,456
2873,462
2874,466
2875,463
2876,465
2877,475
2878,473
2879,472
2880,462
2881,461
2882,473
2883,470
2884,470
2885,459
2886,473
2887,474
2888,475
2889,471
2890,476
2891,475
2892,472
2893,469
2894,479
2895,473
2896,474
2897,474
2898,476
2899,475
2900,467
2901,471
2902,472
2903,473
2904,475
2905,479
2906,474
2907,475
2908,473
2909,473
2910,473
2911,477
2912,476
2913,469
2914,475
2915,482
2916,483
2917,483
2918,483
2919,482
2920,485
2921,479
2922,485
2923,484
2924,485
2925,489
2926,491
2927,491
2928,493
2929,500
2930,500
2931,494
2932,496
2933,491
2934,480
2935,484
2936,480
2937,472
2938,477
2939,476
2940,469
2941,473
2942,483
2943,481
2944,478
2945,473
2946,469
2947,473
2948,478
2949,477
2950,480
2951,484
2952,479
2953,477
2954,474
2955,478
2956,488
2957,483
2958,473
2959,494
2960,568
2961,654
2962,714
2963,727
2964,709
2965,644
2966,558
2967,491
2968,484
2969,488
2970,492
2971,485
2972,486
2973,482
2974,477
2975,475
2976,477
2977,482
2978,483
2979,482
2980,485
2981,490
2982,483
2983,476
2984,480
2985,493
2986,494
2987,491
2988,498
2989,501
2990,504
2991,505
2992,506
2993,507
2994,503
2995,514
2996,521
